2025-06-29 22:04:25,493 - pending_orders - INFO - Starting the pending order checker background task.
2025-06-29 22:06:20,483 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:24,876 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:26,436 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:27,243 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:27,528 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:27,786 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:28,098 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:28,371 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:29,847 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:30,190 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:30,524 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:36,603 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:43,373 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:44,239 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:44,557 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:45,205 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:46,408 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:46,814 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:48,855 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:51,512 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:51,915 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:53,624 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:53,891 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:55,366 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:55,977 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:07:56,279 - pending_orders - INFO - [REDIS_CLEANUP] Removed pending order 6167931374 from Redis for user 10, symbol AUDCAD, type BUY_LIMIT
2025-06-29 22:14:11,217 - pending_orders - INFO - Starting the pending order checker background task.
